Statistics;Type;Object;Product;Vehicle type;Source;Sale batch;BOM;Period;Account;Destination;Zone;Staff type;value;unit;
Available Inventory;DC;DC Oslo;Biscuits aux noix et aux raisins;;;;;Time period;;;;;20;kg;
Available Inventory;DC;DC Oslo;Biscuits fourrés a la confiture;;;;;Time period;;;;;10;kg;
Available Inventory;DC;DC Oslo;Levure chimique;;;;;Time period;;;;;0.05;kg;
Available Inventory;DC;DC Oslo;Sucre;;;;;Time period;;;;;10;kg;
Available Inventory;DC;DC Oslo;Beurre mou;;;;;Time period;;;;;2;kg;
Available Inventory;DC;DC Oslo;Noix hachees;;;;;Time period;;;;;1;kg;
Available Inventory;DC;DC Oslo;Raisins sec;;;;;Time period;;;;;1;kg;
Available Inventory;DC;DC Bergen;Biscuits aux noix et aux raisins;;;;;Time period;;;;;20;kg;
Available Inventory;DC;DC Bergen;Biscuits fourrés a la confiture;;;;;Time period;;;;;10;kg;
Available Inventory;DC;DC Bergen;Levure chimique;;;;;Time period;;;;;0.05;kg;
Available Inventory;DC;DC Bergen;Sucre;;;;;Time period;;;;;10;kg;
Available Inventory;DC;DC Bergen;Beurre mou;;;;;Time period;;;;;2;kg;
Available Inventory;DC;DC Bergen;Noix hachees;;;;;Time period;;;;;1;kg;
Available Inventory;DC;DC Bergen;Raisins sec;;;;;Time period;;;;;1;kg;
Available Inventory;DC;DC Trondheim;Biscuits aux noix et aux raisins;;;;;Time period;;;;;20;kg;
Available Inventory;DC;DC Trondheim;Biscuits fourrés a la confiture;;;;;Time period;;;;;10;kg;
Available Inventory;DC;DC Trondheim;Levure chimique;;;;;Time period;;;;;0.05;kg;
Available Inventory;DC;DC Trondheim;Sucre;;;;;Time period;;;;;10;kg;
Available Inventory;DC;DC Trondheim;Beurre mou;;;;;Time period;;;;;2;kg;
Available Inventory;DC;DC Trondheim;Noix hachees;;;;;Time period;;;;;1;kg;
Available Inventory;DC;DC Trondheim;Raisins sec;;;;;Time period;;;;;1;kg;
Available Inventory;DC;DC Stavanger;Biscuits aux noix et aux raisins;;;;;Time period;;;;;20;kg;
Available Inventory;DC;DC Stavanger;Biscuits fourrés a la confiture;;;;;Time period;;;;;10;kg;
Available Inventory;DC;DC Stavanger;Levure chimique;;;;;Time period;;;;;0.05;kg;
Available Inventory;DC;DC Stavanger;Sucre;;;;;Time period;;;;;10;kg;
Available Inventory;DC;DC Stavanger;Beurre mou;;;;;Time period;;;;;2;kg;
Available Inventory;DC;DC Stavanger;Noix hachees;;;;;Time period;;;;;1;kg;
Available Inventory;DC;DC Stavanger;Raisins sec;;;;;Time period;;;;;1;kg;
Available Inventory;DC;DC Kristiansand;Biscuits aux noix et aux raisins;;;;;Time period;;;;;20;kg;
Available Inventory;DC;DC Kristiansand;Biscuits fourrés a la confiture;;;;;Time period;;;;;10;kg;
Available Inventory;DC;DC Kristiansand;Levure chimique;;;;;Time period;;;;;0.05;kg;
Available Inventory;DC;DC Kristiansand;Sucre;;;;;Time period;;;;;10;kg;
Available Inventory;DC;DC Kristiansand;Beurre mou;;;;;Time period;;;;;2;kg;
Available Inventory;DC;DC Kristiansand;Noix hachees;;;;;Time period;;;;;1;kg;
Available Inventory;DC;DC Kristiansand;Raisins sec;;;;;Time period;;;;;1;kg;
